target,mean_score,n_common_feat
glucose,0.37766355282118325,26
sucrose,0.3188916665994363,8
citricAcid,0.22358901669508696,18
isoleucine,0.07529144560758311,9
leucine,0.3998880293910286,15
valine,0.4303056564518039,13
rutin,0.7485866213502098,31
oxGlut,0.6572588099980421,32
trehalose,0.7162380753151226,14
